SECTOR,TICKER,NAME,HREF,LAST,CHANGE_%,SELL,BUY,TURNOVER_MNOK,TRADES_COUNT,MARKETCAP_MNOK,TIME_HHMMSS,TIME_SECS
Industri,MULTI,Multiconsult,https://www.oslobors.no/markedsaktivitet#/details/MULTI.OSE,63.0,20.0,0.0,0.0,3.63,197,1692.83,23:59:56,86396
Helsevern,BIOTEC,Biotec Pharmacon,https://www.oslobors.no/markedsaktivitet#/details/BIOTEC.OSE,26.2,16.96,0.0,0.0,27.25,1172,1266.37,23:59:56,86396
Industri,TEAM,Team Tankers International,https://www.oslobors.no/markedsaktivitet#/details/TEAM.OSE,4.7,11.9,0.0,0.0,0.02,8,952.46,23:59:56,86396
Energi,BWO,BW Offshore Limited,https://www.oslobors.no/markedsaktivitet#/details/BWO.OSE,38.1,11.4,0.0,0.0,72.48,2922,6903.43,23:59:56,86396
Energi,HLNG,Höegh LNG Holdings,https://www.oslobors.no/markedsaktivitet#/details/HLNG.OSE,9.34,11.06,0.0,0.0,2.82,344,711.52,23:59:56,86396
Helsevern,TRVX,Targovax,https://www.oslobors.no/markedsaktivitet#/details/TRVX.OSE,8.3,10.52,0.0,0.0,3.53,262,631.53,23:59:56,86396
Energi,FLNG,FLEX LNG,https://www.oslobors.no/markedsaktivitet#/details/FLNG.OSE,49.5,10.39,0.0,0.0,12.01,752,2678.47,23:59:56,86396
Energi,BWLPG,BW LPG,https://www.oslobors.no/markedsaktivitet#/details/BWLPG.OSE,33.7,9.99,0.0,0.0,30.84,1826,4671.43,23:59:56,86396
Industri,NKR,Nekkar,https://www.oslobors.no/markedsaktivitet#/details/NKR.OSE,3.2,9.97,0.0,0.0,0.82,63,337.96,23:59:56,86396
IT,NAPA,Napatech,https://www.oslobors.no/markedsaktivitet#/details/NAPA.OSE,4.24,9.28,0.0,0.0,0.56,72,352.16,23:59:56,86396
Energi,PRS,Prosafe,https://www.oslobors.no/markedsaktivitet#/details/PRS.OSE,1.53,9.14,0.0,0.0,0.5,96,125.09,23:59:56,86396
Eiendom,SBO,Selvaag Bolig,https://www.oslobors.no/markedsaktivitet#/details/SBO.OSE,46.7,8.6,0.0,0.0,10.68,589,4362.78,23:59:56,86396
Finans,INFRNT,Infront,https://www.oslobors.no/markedsaktivitet#/details/INFRNT.OSE,21.0,7.69,0.0,0.0,0.52,23,911.93,23:59:56,86396
Energi,BDRILL,Borr Drilling,https://www.oslobors.no/markedsaktivitet#/details/BDRILL.OSE,5.94,7.52,0.0,0.0,11.14,1019,657.71,23:59:56,86396
Industri,AMSC,American Shipping Company,https://www.oslobors.no/markedsaktivitet#/details/AMSC.OSE,25.0,6.84,0.0,0.0,2.76,213,1514.41,23:59:56,86396
Forbruksvarer,GIG,Gaming Innovation Group,https://www.oslobors.no/markedsaktivitet#/details/GIG.OSE,5.97,6.61,0.0,0.0,1.65,160,533.06,23:59:56,86396
Energi,AVANCE,Avance Gas Holding,https://www.oslobors.no/markedsaktivitet#/details/AVANCE.OSE,20.22,6.59,0.0,0.0,16.73,931,1287.13,23:59:56,86396
Helsevern,VISTIN,Vistin Pharma,https://www.oslobors.no/markedsaktivitet#/details/VISTIN.OSE,12.45,6.41,0.0,0.0,34.0,383,552.09,23:59:56,86396
Forbruksvarer,KID,Kid,https://www.oslobors.no/markedsaktivitet#/details/KID.OSE,63.4,6.38,0.0,0.0,9.06,175,2576.9,23:59:56,86396
Energi,AKSO,Aker Solutions,https://www.oslobors.no/markedsaktivitet#/details/AKSO.OSE,6.27,6.37,0.0,0.0,24.46,1684,1703.72,23:59:56,86396
Industri,VOW,Vow,https://www.oslobors.no/markedsaktivitet#/details/VOW.OSE,22.6,6.35,0.0,0.0,9.41,476,2408.34,23:59:56,86396
Energi,PLCS,Polarcus,https://www.oslobors.no/markedsaktivitet#/details/PLCS.OSE,0.32,5.7,0.0,0.0,0.91,94,166.72,23:59:56,86396
Forbruksvarer,KOA,Kongsberg Automotive,https://www.oslobors.no/markedsaktivitet#/details/KOA.OSE,1.47,5.6,0.0,0.0,50.77,3456,658.4,23:59:56,86396
Energi,ODL,Odfjell Drilling,https://www.oslobors.no/markedsaktivitet#/details/ODL.OSE,9.37,5.28,0.0,0.0,14.44,973,2218.66,23:59:56,86396
